"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Bitcoin Up or Down - May 20, 12:40PM-12:45PM ET","Sell","1.55678","2","Up","1779295332","0x8c347fd01e7c4be906ea6bc581bb68bd51da4d5bebbe53f278ccbdd036184bd1"
"Bitcoin Up or Down - May 20, 12:45PM-12:50PM ET","Buy","1.05498","2","Up","1779295244","0x007023558d62d46219871d8c87b52961eb358142292ccda76d447858523d9893"
"Bitcoin Up or Down - May 20, 12:40PM-12:45PM ET","Buy","1.05498","2","Up","1779295239","0x394ba1d71d89c4225e412d084a05a967d61c75314470ef804e9694387e173dcf"
"Bitcoin Up or Down - May 20, 12:40PM-12:45PM ET","Sell","1.6118","4","Up","1779295234","0x3d6212586b2548e15a236547c75c544ed32a09e6ed35b3d8ab0d479c52e5a916"
"Bitcoin Up or Down - May 20, 12:40PM-12:45PM ET","Buy","2.10997","4","Up","1779295017","0x268e19146b8a5207d4443940202f9d7c8a6da061edc3da3e1b0ec242ddf2e290"
"Bitcoin Up or Down - May 20, 12:35PM-12:40PM ET","Sell","2.37339","4","Up","1779294998","0x3952e3d248b509dfdc53419b459103bbcc5f8285e493d0f155feb782f62c3529"
"Bitcoin Up or Down - May 20, 12:35PM-12:40PM ET","Buy","2.18974","4","Up","1779294770","0x5163e1de1701eb0f97f66c30437b7c4b3e757579f58972c2a78d04bd08215d75"
"Bitcoin Up or Down - May 20, 8:50AM-8:55AM ET","Sell","0.94502","2","Up","1779281285","0xc09374f4358649fd6ebd7817c50852b3f54b5b784d8e7b796dd04867652ef073"
"Bitcoin Up or Down - May 20, 8:30AM-8:35AM ET","Redeem","0","0","","1779281150","0x58e11e72f5ff6653687335eab57b59e66767f64b270169015043f834a371f471"
"Bitcoin Up or Down - May 20, 8:40AM-8:45AM ET","Sell","0.9870300000000001","2.23","Up","1779280928","0x87dedee01936276c0f31a08e6003a901bae2083a77863c58b10454352de52c35"
"Bitcoin Up or Down - May 20, 8:40AM-8:45AM ET","Buy","0.97462","2.23","Up","1779280828","0x090f57e0114b21b4fd8beff140bd99bc8c5a45c2166cd06d3caeebebf7a5d778"
"Bitcoin Up or Down - May 20, 8:35AM-8:40AM ET","Sell","2.47579","7","Up","1779280761","0x5018148b05ccfe32040f00f237cbb48914ac0eaa86288e52889425c622896b08"
"Bitcoin Up or Down - May 20, 8:35AM-8:40AM ET","Buy","1.95","7.5","Up","1779280730","0xe4806f7c61609fab7d53719171b61086a5fe70cac6dba49bd160c7702b60abb2"
"Bitcoin Up or Down - May 20, 8:50AM-8:55AM ET","Buy","1.05498","2","Up","1779280725","0x898028997e27885e34a9507b1916d0d92a5bbb0850fc390e96901ece1af334b5"
"Bitcoin Up or Down - May 20, 8:40AM-8:45AM ET","Sell","1.41753","3","Up","1779280716","0x8346699c9dd0609074b768705c8f27db37d50456361a07c41ea4a73d9f74a278"
"Bitcoin Up or Down - May 20, 8:40AM-8:45AM ET","Buy","1.58247","3","Up","1779280347","0xe119675d1853c3ebc3ac9ae3a4e2d5d7b844e4ed45644987cfb7d17dd3edf034"
"Bitcoin Up or Down - May 20, 8:40AM-8:45AM ET","Sell","1.93","4","Up","1779280340","0x57f4d7e9c60e580bc8d88b25d403973b80879b471d03954fff73d1c1269aa5c4"
"Bitcoin Up or Down - May 20, 8:40AM-8:45AM ET","Buy","2.10997","4","Up","1779279965","0x697d47bcc85e93d6b3777110114baa3f352ea8890bb61c86d747f145b60409a7"
"Bitcoin Up or Down - May 20, 8:30AM-8:35AM ET","Sell","1.93","4","Up","1779279960","0x59b387954c9fb076eddad6f1ffa97085f9ad537d073d22ef0089b1eff386f809"
"Bitcoin Up or Down - May 20, 8:30AM-8:35AM ET","Buy","2.10997","4","Up","1779279592","0xecc629a37075038dd4e5f527d898238d56e3becbeb84f20b053365ce655da841"
"Bitcoin Up or Down - May 20, 8:15AM-8:20AM ET","Sell","2.14861","3","Up","1779279580","0x36898c47423acc8ee4bb93f0fce40156187000c003d33623065064a8815427fe"
"Bitcoin Up or Down - May 20, 8:15AM-8:20AM ET","Buy","1.58247","3","Up","1779278996","0x7c3d8754617c62ea2b1d109ac619c45ffdde666a1d76fd808b1c24b4045da731"
